what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403792057496
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1403792062498
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403792062647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1403792070040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403792070980
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403792072310
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1403792073171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403792074077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403792075015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792076633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792080179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792081960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792090998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403792117755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792120016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792134498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403792144965
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792146277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792149015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792151330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792164146
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1403792170555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1403792170632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1403792176940
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403792179029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792180024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792624096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792625307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792626932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792631953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403792829917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403792842945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403792854285
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403792862234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403792883736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403792890911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403792891695
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403792893035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403792900674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403792904926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403792905909
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403792907340
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403792910653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403792921638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403792925200
