what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019183253
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019183665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019240375
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1401019243354
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1401019249980
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401019258370
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1401019263592
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1401019263691
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1401019266936
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1401019266972
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1401019267020
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1401019267044
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1401019267438
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1401019297965
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1401019297972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019297990
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1401019298400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019298479
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1401019298570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019304386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019306349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019307134
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019316371
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401019340046
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1401019349691
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401019353040
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1401019353041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019353836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019380245
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1401019381137
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1401019381891
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401019390820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019409215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019410987
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1401019411008
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1401019415742
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1401019415823
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1401019415880
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1401019417547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019419360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401019419377
