what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724849928
executed,command,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.commit",1399724849943
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399724876120
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399724876151
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399724881689
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399724881689
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399724886276
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399724886307
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399724891970
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399724891970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724900378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724936009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724945696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724948536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724948536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724949082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724960844
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1399724963824
error,log,,,"Internal Error",1399724967209
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724971436
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1399724971436
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1399724973449
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1399724980391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724988612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724988674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399724988721
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725000172
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725001201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725008845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725014726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725019656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725021372
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1399725021388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399725021388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725022370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725052202
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1399725053450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725056523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725056585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725056617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725064167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725064479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725068504
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725071983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725074744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725097629
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1399725099735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725100016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725100780
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725107909
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725107956
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725112340
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725112340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1399725115772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725116068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725116739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725119282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725120280
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725124399
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725124445
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725129687
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725129687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725133649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725136083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1399725136099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725138002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725152089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725155006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725175801
error,log,,,"File not found: '/dew/src/__2F_dew_2F_WebContent_2F_page_2F_user_2F_login_2E_jsp.java'",1399725177486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725183055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725201853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725203413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725215300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1399725215316
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1399725215316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725229028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725239683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725250010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725271823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725273585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725275489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399725275489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399725278016
error,log,,,"Could not remove F:\\workspace\\eduxm\\src\\main\\webapp\\user\\add.jsp",1399725279030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725279045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725288109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725293444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725300562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725300593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725302652
error,log,,,"Could not rename F:\\workspace\\eduxm\\src\\main\\webapp\\user\\add.jsp to F:\\workspace\\eduxm\\src\\main\\webapp\\user\\add.jsp.svntmp",1399725303307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725303339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725314820
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1399725316911
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1399725316942
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725323884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725327893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725329313
executed,command,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.commit",1399725329328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725329921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725330295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725339406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725340701
executed,command,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.commit",1399725340716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725341293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725341434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725381635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725383663
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399725383663
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725392228
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725392274
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725402258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399725403756
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725407266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725418264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399725418311
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399725427437
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399725427468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1399725429371
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725429792
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399725429824
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725435486
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725436906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725436953
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725449417
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725457794
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725457841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1399725459604
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725473753
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725473987
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725474034
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725481491
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725485672
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725485734
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1399725486935
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725497231
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725497294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399725507730
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399725509758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1399725513596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399725518494
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1399725527807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725529009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725529211
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1399725531115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725531988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725532222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399725535436
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1399725540553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399725542144
