what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883260879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883264437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883381433
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394883385823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883389984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883527246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883790045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883873470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883904078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883906718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394883907357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884076781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884084328
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1394884098666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884101461
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884103575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884104660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884141225
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884141237
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1394884141339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884146829
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884148787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1394884156686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884162262
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1394884178751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884228173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884231677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884246917
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884248923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884252515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884263170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884265336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884274713
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1394884279074
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1394884280448
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1394884280468
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1394884280514
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1394884280549
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1394884280757
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1394884284262
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1394884285717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884289855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884298492
executed,command,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.applyPatch",1394884298517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884306166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884306187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884306232
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394884324111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884324140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884324435
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1394884326384
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1394884326512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884327694
opened,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.GenericHistoryView",1394884327950
opened,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1394884330091
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1394884330101
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.GenericHistoryView",1394884330145
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1394884330167
error,log,,,"同步 SVNStatusSubscriber 时报告了错误。2 中的 1 个资源已经同步。",1394884346197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884346249
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884669750
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1394884672028
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1394884672033
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884674333
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1394884683641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884691647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884695966
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1394884696187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884696286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884703448
executed,command,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.commit",1394884703458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884703777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884707742
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884710292
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1394884717952
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884726142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884730911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884732426
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1394884738144
executed,command,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.update",1394884747218
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1394884750390
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884753542
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1394884756010
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884761458
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1394884764920
closed,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884764924
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1394884765424
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1394884765473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884766910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884804521
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.GenericHistoryView",1394884806520
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1394884807727
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1394884807740
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.GenericHistoryView",1394884810378
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1394884813007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884818006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884823031
opened,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884823053
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884823071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1394884823072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1394884823072
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1394884824744
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884826336
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1394884838075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884848056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884850619
executed,command,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.applyPatch",1394884850628
executed,command,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.synchronize",1394884857644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884857942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884860737
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884861741
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884861976
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1394884862000
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1394884862018
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.GenericHistoryView",1394884868037
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1394884870863
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1394884870868
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1394884873651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884883105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884886664
executed,command,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.commit",1394884886669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394884894524
