what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639161276
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1381639161414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639162665
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1381639164122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639169520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639178190
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381639184400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639187732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639187758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639187772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639262734
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1381639265545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639269325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639269348
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381639278305
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1381639284374
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.GenericHistoryView",1381639286191
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1381639287295
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381639288836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639292281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639292309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639292326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639294790
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1381639295522
activated,view,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1381639296280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381639304718
